Normal Costs,CUDA Costs,CUDA Cost Diff,Normal Removal,CUDA Removal,Memmove Removal,CUDA Removal Diff,Memmove Removal Diff
46,10,36,37,45,3,8,+AC0-34
46,11,35,31,115,3,84,+AC0-28
45,10,35,44,99,3,55,+AC0-41
45,10,35,15,51,3,36,+AC0-12
44,11,33,28,89,3,61,+AC0-25
45,10,35,40,128,3,88,+AC0-37
45,10,35,16,49,3,33,+AC0-13
51,11,40,2,7,2,5,0
43,10,33,25,85,3,60,+AC0-22
45,10,35,7,28,2,21,+AC0-5
45,11,34,32,106,3,74,+AC0-29
44,11,33,24,80,2,56,+AC0-22
51,10,41,11,36,2,25,+AC0-9
44,11,33,18,59,2,41,+AC0-16
45,10,35,36,116,3,80,+AC0-33
44,10,34,4,14,2,10,+AC0-2
44,11,33,8,29,2,21,+AC0-6
44,11,33,25,85,3,60,+AC0-22
44,10,34,42,139,4,97,+AC0-38
44,11,33,39,125,4,86,+AC0-35
44,11,33,15,49,2,34,+AC0-13
46,11,35,21,70,3,49,+AC0-18
44,10,34,31,102,3,71,+AC0-28
45,11,34,2,39,2,37,0
45,10,35,11,8,1,+AC0-3,+AC0-10
45,11,34,14,142,4,128,+AC0-10
43,11,32,43,50,2,7,+AC0-41
45,10,35,8,29,3,21,+AC0-5
43,11,32,36,9,2,+AC0-27,+AC0-34
48,11,37,28,113,3,85,+AC0-25
44,10,34,2,95,3,93,1
43,11,32,17,58,3,41,+AC0-14
44,11,33,11,34,2,23,+AC0-9
44,10,34,31,103,4,72,+AC0-27
44,10,34,39,126,4,87,+AC0-35
47,11,36,28,92,3,64,+AC0-25
43,10,33,18,61,3,43,+AC0-15
43,11,32,38,127,4,89,+AC0-34
45,11,34,28,96,3,68,+AC0-25
43,10,33,43,50,3,7,+AC0-40
49,11,38,14,28,2,14,+AC0-12
43,11,32,9,7,2,+AC0-2,+AC0-7
42,10,32,24,80,3,56,+AC0-21
44,10,34,2,35,2,33,0
44,11,33,11,141,4,130,+AC0-7
43,10,33,26,84,3,58,+AC0-23
42,10,32,31,103,3,72,+AC0-28
42,11,31,39,130,3,91,+AC0-36
42,10,32,13,40,3,27,+AC0-10
44,11,33,33,112,3,79,+AC0-30
46,11,35,3,6,2,3,+AC0-1
45,10,35,8,26,3,18,+AC0-5
44,11,33,16,54,3,38,+AC0-13
43,11,32,25,87,3,62,+AC0-22
43,11,32,7,26,3,19,+AC0-4
43,10,33,29,101,3,72,+AC0-26
42,11,31,14,46,2,32,+AC0-12
45,11,34,21,66,3,45,+AC0-18
44,10,34,28,91,3,63,+AC0-25
44,11,33,16,51,2,35,+AC0-14
